J,b,dlt,p,d
0.451236494544056,-6.09560890437876,-0.0188084560698104,4.76929700072837,-2.17471492337975
0.702678426382797,-6.18739632177683,-0.00708274152902022,4.28097962788549,-1.33992629586607
0.643059227996752,-6.26817308285102,-0.00678831700718127,4.95386766359449,-2.2650156172422
0.875441016795539,-6.14731798054371,-0.178979961177179,4.99691938877725,-2.62558170301656
0.780496804316933,-6.00868108816324,-0.634850207077992,4.85159155472028,-3.52333501453185
0.741563141025335,-6.09544668506145,-0.133481926245627,3.85423464288191,-1.06523836034529
0.872744394877363,-6.23088283102348,-0.322759287811237,3.90263044307063,-0.990592282388556
0.526708236533536,-6.17026058223186,-0.226240350928676,3.83125455620411,-1.15630321103953
0.79894371866375,-6.39776868006269,-0.144417459880423,4.74325537389847,-1.99449917931485
0.825833760988575,-6.09142201876858,-0.180836924226913,4.22394553826047,-1.45600459439226
0.870089354864494,-6.11726986428393,-0.352257433948854,4.55182195171064,-2.28677280581836
0.808789686021744,-6.42033253153883,-0.0172755600960031,4.99680823190384,-1.96896005555611
0.527690671552563,-6.05021763574542,-0.103254418187879,4.33509160849651,-1.72840255749452
0.500350529203879,-6.12535803365824,-0.524768184436939,3.80679449373903,-1.71894263171099
0.561230128442602,-6.38655111010526,-0.0402805467650337,4.09717927302167,-1.21948238758685
0.663977159788639,-6.09957805013124,-0.0987491561049825,4.44104068816569,-1.96909252720412
0.841220187811303,-6.07274063123594,-0.0785888353749449,4.05515440346444,-1.1657854879739
0.272995788333074,-6.47545612309159,-0.104663444592467,4.17656748715409,-1.40772202143754
0.775032106128542,-6.28387040082408,-0.169659727499249,4.49076196568254,-1.76124932208791
0.420006304068954,-6.71488281511018,-0.300592608775411,4.3592338549036,-1.56901315962071
0.681989918905878,-6.01897530235217,-0.292182867250441,4.47043436554225,-2.14793635942191
0.733346971061303,-6.28247131181292,-0.390459125886332,4.02325710846202,-1.8712732498336
0.892611675902841,-6.54650937198413,-0.596383459255845,4.65997130610818,-2.9955120609327
0.647544395002003,-6.25153283157157,-0.102237759292811,4.0027978207228,-1.31006604047184
0.672629591043259,-6.04982479722992,-0.0597945152805903,4.7143068203215,-1.94592227108041
0.807693986220341,-6.15692314940466,-0.640491422904763,3.98345576703238,-2.79939183410001
0.614722941011599,-6.19649024873866,-0.00330080589055092,4.7455424882357,-1.88834582717512
0.733538623390253,-6.13584954235931,-0.0836319838969279,3.87454856418792,-0.769865493722638
0.823046135028956,-6.19517145965014,-0.155634747416624,3.89120603719472,-0.782230347573037
0.776938131736242,-6.25953958772321,-0.433566781068048,3.92327758217114,-1.28555292474338
0.459060345508467,-6.07251723427984,-0.0106044379198715,4.77139623421475,-2.21191082095258
0.858084803130299,-6.09388797262374,-0.147188739653877,4.39501398150826,-1.56060444520005
0.865405570335743,-6.06259092082775,-0.497871397781486,4.62592408478402,-2.56682486082138
